relation_id,name,ref,network,length,linear,wikidata
13579,Jämt-Norge-Leden,,lwn,45.674,False,
22012,Gästrikeleden,,nwn,344.295,False,Q10512412
22013,Utiskogen,10km,Sportis - Spårsystem,4.65,False,
22788,Jogga Jorden Runt,5km,Sportis - Spårsystem,2.836,False,
22789,Häcklingevägen,7km,Sportis - Spårsystem,2.836,False,
22791,Hälsans Stig,,lwn,5.894,False,
22792,Vita Bergen,1.5km,Sportis - Spårsystem,0.622,True,
26794,Hälsans stig,Hälsans stig,lwn,10.039,False,Q7542479
28957,Kinnekulleleden,,rwn,47.018,False,Q18291226
29166,Pilgrimsleden Forshem-Husaby,Pilgrimsleden,rwn,2.59,True,
29320,Torrskogsleden,,lwn,24.186,True,
68039,Kopparhattsrundan,,lwn,5.232,False,
68041,Korsskär-Liagårdsrundan Hjortsprångsrundan,,lwn,7.111,True,
68042,Liakroksrundan,,lwn,6.053,True,
68270,Stenbockstenen,,lwn,0.591,True,
68271,Skogskyrkan,,lwn,0.897,False,
68278,Bögerupsrundan,,lwn,3.37,False,
68279,Uggleskrikrundan,U,lwn,3.379,False,
68280,Wittserödsrundan,W,lwn,3.689,False,
75159,Nackarpsrundan,,lwn,3.354,True,
78742,Vildmarksleden,,rwn,38.051,True,Q10715372
83126,Grössjön runt,,lwn,4.597,True,
89397,Torrekullaleden,,lwn,15.211,False,
89398,Sandsjöbackaleden,,lwn,20.768,False,
93252,Lidingöloppet 30 km,,lwn,30.489,True,Q827846
108820,Landborgspromenaden,,lwn,6.666,False,Q12323630
109989,"2,5 km",,lwn,2.389,True,
109990,"3,2 km",,lwn,2.869,True,
109991,"5,0 km",,lwn,5.212,True,
109992,"7,0 km",,lwn,7.01,True,
109993,Elljusspår,,lwn,3.459,True,
121187,Hälsans stig - Mölnlycke,,lcn,4.754,False,Q116795605
124985,Bohusleden - Etapp 12 Vassbovik - Glimmingen,12,nwn,12.073,True,
125010,Bohusleden - Etapp 11 Hasteröd - Vassbovik,11,nwn,21.531,True,
125070,Bohusleden - Etapp 10 Lysevatten - Hasteröd,10,nwn,12.744,True,
125098,Bohusleden - Etapp 9 Bottenstugan - Lysevatten,9,nwn,11.523,False,
125129,Bohusleden - Etapp 8 Grandalen - Bottenstugan,8,nwn,8.026,True,
125205,Bohusleden - Etapp 7 Fontin - Grandalen,7,nwn,16.286,True,
138149,Kunskapens skog,,lwn,2.765,False,
141279,Hässningberget vandringsled,,lwn,3.164,False,
155048,Ekerö-Munsöleden del II,,rwn,19.266,False,Q31856655
157136,Tavelsjöleden,,rwn,56.569,False,
168748,Kustleden,,rwn,105.432,False,
174284,,,,2.039,True,
174285,,,,1.415,True,
175380,,,lwn,1.635,False,
180547,Stamsjöspåret,,lwn,6.061,False,
180548,Stamsjöleden,,lwn,6.039,True,
184698,Kyststien i Østfold,,rwn,262.73,False,
195629,"Roslagsleden, etapp 11",,rwn,20.836,True,Q135479047
206721,Rundvandring 23,,lwn,8.691,False,
222252,LOK-milen,LOK-milen,lwn,9.692,False,
222310,Guldtur 15 Anåfjället,,lwn,4.823,True,
222522,Guldtur 19: Tvärån,,lwn,6.423,True,
222527,Guldtur 1: Klinkenturen,,lwn,11.841,False,
223937,Upplands-Broleden,,lwn,31.398,False,Q56301852
224103,Långa bergsturen,354,lwn,8.759,False,
232031,Röd 7.2km slinga,,lwn,7.42,False,
232032,Blå 2.5km slinga,,lwn,1.468,False,
241015,Norra Fäladsstigen,,lwn,2.779,True,
241043,Upplandsleden,,nwn,200.94,False,Q10710163
255160,"Roslagsleden, etapp 1",,rwn,15.088,True,Q135476937
269485,Röd,,lwn,2.521,True,
269853,Gul,,lwn,4.926,True,
273043,Enåns Vandringsled,,lwn,3.356,False,
276245,Lidingöloppet 15 km,,lwn,15.003,True,Q827846
278725,Träsktrollens stig,,lwn,0.304,False,
278727,Siggesta Vandringsled,,lwn,3.246,True,
279634,Bohusleden - Etapp 2 Stensjön - Skatås,2,nwn,8.471,True,
279950,Bohusleden - Etapp 1 Älvsåker - Stensjön,1,nwn,25.454,True,
280005,Bohusleden - Etapp 3 Skatås - Kåsjön,3,nwn,9.546,True,
280010,Bohusleden - Etapp 4 Kåsjön - Jonsered,4,nwn,7.54,True,
282171,Orsa Gröna Ringen,,lwn,10.554,True,
282582,"Röd (2,5 km)",,lwn,2.389,True,
282583,Gul (5 km),,lwn,4.874,True,
374727,Bysjörundan,,lwn,13.703,False,
375258,Vit / Grön Lida,,lwn,4.466,False,
375259,Grön Lida,,lwn,7.629,False,
375260,Blå,lwn,,0.766,True,
380445,Vallentuna IP 0.9km blå/vit,,,0.99,True,
382823,Vinterpromenaden,,,3.609,False,
399334,"Skåneleden 5, Etapp 6B",,nwn,1.499,True,
454961,Gröna spåret,,lwn,9.739,True,
543209,Rankås 0.5 km,,lwn,0.54,True,
543210,Rankås 2.5 km,,lwn,2.503,True,
556766,Siljansleden,,nwn,350.803,False,Q2286128
562617,"Sörmlandsleden, etapp 5:2",5:2,nwn,16.15,False,Q115097000
570784,Slipstensleden,,lwn,2.874,True,
572188,Fryksås 2,,lwn,4.27,True,
572189,Fryksås 1,,lwn,2.25,True,
572190,Fryksås 3,,lwn,6.663,True,
572783,Rankås 5Km,,lcn,4.994,True,
602559,Rankås 10Km,,,9.542,True,
660162,"Sörmlandsleden, etapp 1",1,nwn,8.54,True,Q115096994
660915,Våxnäs motionsspår,,lwn,3.77,False,
915260,Vit / Svart,,lwn,18.129,False,
915261,Vit / Gul,,lwn,2.418,False,
932436,Karnevalståget,,,2.421,False,
946393,Hälsospåret,,lwn,1.766,False,
948871,Saabspåret,,lwn,0.958,True,
962106,Lindängets Vandringsled,Lindängets Vandringsled,lwn,5.488,False,
963094,Hälsans Stig,,lwn,1.763,False,
963800,7000 steg,,lwn,6.552,False,
967042,Etapp 1: Åstorp - Hålebäck,1,nwn,9.779,True,
967043,Etapp 2: Hålebäck - Krika skog,2,nwn,10.745,True,
967044,Etapp 3: Krika skog - Klåveröd,3,nwn,13.014,True,
967045,Etapp 11: Ekeröd – Timan,11,nwn,13.059,True,
967319,Etapp 5: Söderåsens nationalpark-Jällabjär,5,nwn,10.889,True,
967320,Etapp 4: Klåveröd-Söderåsens nationalpark,4,nwn,7.683,True,
969802,Rädsjön Runt,,lwn,4.033,True,
1019275,Allböleleden,Allböleleden,lwn,5.942,False,
1019334,Kohagenleden,Kohagenleden,lwn,4.048,True,
1019437,Etapp 10: Bjeveröd – Ekeröd,10,nwn,12.393,True,
1019438,,8,nwn,7.287,True,
1019439,Etapp 6: Jällabjär – S Hultarp,6,nwn,11.249,True,
1019440,,7,nwn,11.798,True,
1019441,,9,nwn,10.607,True,
1019764,"Skåneleden 4, Etapp 7A: Alunbruket – Agusa",7A,nwn,8.097,True,
1019765,"Skåneleden 4, Etapp 7B: Agusa – Torparebron",7B,nwn,13.8,True,
1019766,"Skåneleden 4, Etapp 6: Kivik – Vantalängan",6,nwn,14.959,True,
1019969,"Skåneleden 4, Etapp 8: Alunbruket – Heinge",8,nwn,7.97,True,
1019970,"Skåneleden 4, Etapp 7: Vantalängan – Alunbruket",7,nwn,7.199,True,
1020053,Laxaleden,,lwn,31.047,True,
1020191,,,lwn,1.293,True,
1020194,,,lwn,2.253,True,
1023672,Acksjöleden,,lwn,14.715,False,
1024084,Ellestadslingan,,lwn,1.268,True,
1024140,Stora Sjöslingan,,lwn,3.004,False,
1024143,Bäckslingan,,lwn,2.436,True,
1024195,Snogeholmsleden,,lwn,17.104,False,
1029251,Tuggelite motionsspår/skidspår,Tug,lwn,2.474,False,
1029700,"Skåneleden 1, Etapp 21: Ängelsbäcksstrand-Båstad",21,nwn,14.873,True,
1029701,"Skåneleden 1, Etapp 22: Vejbystrand-Ängelholm",22,nwn,13.262,True,
1047190,Lyckestigen,,lwn,2.906,True,
1059400,Billingeleden,,rwn,66.901,False,
1076234,Gydarpslingan,,lwn,4.949,False,
1076235,Roshusslingan,,lwn,4.124,False,
1077514,Gula stigen,,lwn,4.996,True,
1077515,Edaslingan,2:1,nwn,3.466,True,
1083651,Kejsarstigen,,lwn,2.473,True,
1085838,"Röd (2,5 km)",,lwn,2.477,True,
1085839,Gul (5 km),,lwn,4.806,True,
1105711,Gränsöleden,,lcn,2.605,False,
1105712,Skogsslingan,,,0.43,True,
1116557,Långstorpsslingan,Långstorpsslingan,lwn,9.803,True,
1116886,Ullstorpsslingan,,lwn,4.249,True,
1116887,Dagstorpsslingan,,lwn,9.12,False,
1119131,Bjäretslingan,,lwn,3.181,True,
1120345,Rankåsleden: Syd,,lwn,9.186,True,
1120346,Rankåsleden: Tibro - Rankås,,lwn,4.498,True,
1121419,Skabersjöstigen,,lwn,2.924,True,
1123042,Bäckaslingan,,lwn,4.35,False,
1127720,Åsenslingan,,lwn,7.943,False,
1127945,Rankåsleden: Nord,,lwn,14.542,False,
1132505,Bokskogen,,lwn,2.348,True,
1132506,Storskiftet,,lwn,4.674,False,
1141000,"Rösjöspåret (röd/vit 2,2 km)",,lwn,2.224,True,
1141099,"Rösjöspåret (Grön/vit 5,6 km)",,lwn,5.592,True,
1141100,"Rösjöspåret (gul/vit 4,3 km)",,lwn,4.393,False,
1141626,Vasahus,,lwn,5.073,False,
1141632,Sjömossen,,lwn,4.735,True,
1141636,Hovgårdsmöllan,,lwn,2.452,False,
1145202,Myggahus,,lwn,2.959,False,
1145203,Inre Attarp,,lwn,2.272,False,
1149500,Guldtur 8: Ösjödalen,,lwn,5.95,False,
1149576,"2,5km",,lwn,2.56,True,
1149577,10km,,lwn,9.238,True,
1149578,6km,,lwn,5.887,True,
1149684,Björnjägarstigen,,lwn,11.551,False,
1151161,Romboleden,,rwn,719.283,False,Q116785357
1152550,Björkhagen,,lwn,2.088,False,
1152798,7 km,,lwn,6.74,True,
1153255,Skärshultsleden,,lwn,10.789,True,
1165673,Dansbanestigen,,lwn,2.072,True,
1166756,"Roslagsleden, etapp 2",,rwn,13.355,True,Q135477336
1168689,Blå slingan,,lwn,3.251,False,
1169853,Orange slingan,,lwn,1.941,False,
1173503,"Västra Vätterleden: Etapp 3, Mölltorp - Gunnarflon - Röå",3,nwn,13.897,True,
1173504,"Västra Vätterleden: Etapp 2, Forsvik-Mölltorp",2,nwn,11.872,True,
1173537,Ahlqvistslingan,,lwn,1.101,True,
1174502,Myrstigen,,lwn,2.675,True,
1175746,"Skåneleden 1, Etapp 1: Sölvesborg – Grundsjön",1,nwn,13.887,True,
1175747,"Skåneleden 1, Etapp 2: Grundsjön-Östafors",2,nwn,15.816,True,
1175748,"Skåneleden 1, Etapp 9: Verum-Vittsjö",9,nwn,11.731,True,
1215067,Klintaskogen,,lwn,1.342,False,
1216335,Gröngubbens vandringsleder,,lwn,41.305,False,
1223925,Mittnordenleden,,rwn,89.773,False,
1229590,Skogsstig,,lwn,1.462,True,
1235962,Orrevadsslingan,,lwn,2.026,True,
1250333,"Roslagsleden, etapp 3",,rwn,15.734,True,Q135477543
1251177,"Västra Vätterleden: Etapp 4, Röå - Lunnakulle - Hjo",4,nwn,25.823,True,
1258501,"Västra Vätterleden: Etapp 1, Stenkällegården - Forsvik (main route)",1,nwn,38.271,True,
1339069,Bergsstigen,,lwn,11.085,True,
1339090,Jungfrubergsstigen,,lwn,4.323,False,
1339101,Stugstigen,,lwn,4.407,False,
1339117,Hopptornsstigen,,lwn,1.21,False,
1339185,Jungfrubergsspåren 6 km,Gul,,6.457,False,
1392325,Gränsenstugan - 3-kilometersspåret,,lwn,3.084,True,
1392326,Gränsenstugan - 5-kilometersspåret,,lwn,5.574,True,
1478317,Milspåret,Grön,,10.001,False,
1478327,7 km,Grön/Vit,,6.369,False,
1515691,Sméleden,,rwn,43.77,True,
1528994,Utö stigen,,lwn,3.498,False,
1558835,Tuggelite 5 km motionsspår,T5k,lwn,4.899,False,
1558836,Tuggelite 10 km motionsspår,T10,lwn,7.324,False,
1619425,Österplana hed och vall,,,5.662,True,
1621881,Värtans stränder,,lwn,4.156,False,
1635055,Drottning Kristinas Väg,,lwn,10.359,True,
1646415,Värmdöleden,,lwn,29.361,False,Q10717638
1656436,,,lwn,1.961,True,
1656437,Sjöstigen,,lwn,0.909,True,
1670963,Bohusleden - Genväg till Torpet Freden (Etapp 5),Bohusleden,nwn,1.391,True,
1671685,Upplevelsestigen,,lwn,1.676,False,
1674101,Naturstigen,Naturstigen,lwn,4.484,False,
1683818,"Roslagsleden, etapp 5",,rwn,20.354,True,Q135477946
1690568,"Västra Vätterleden: Etapp 5, Hjo - Baståsen",5,nwn,22.303,True,
1694918,Galärleden,,lwn,17.247,False,
1695125,Krokstrand-Ramberget,,rwn,11.63,True,
1695270,Bohusleden - Etapp 27 Högstad - Strömstad,27,nwn,15.106,True,
1699076,Oxen,,lwn,2.639,True,
1699080,Vetet,,lwn,0.948,False,
1699081,Skalbaggen,,lwn,4.755,False,
1703166,5 km,,,5.0,False,
1703167,2.5 km,,,2.422,False,
1705828,Dalkarlsvägen etapp 3a,,nwn,31.99,True,
1707411,Knysselbackestigen,,lwn,0.997,False,
1707412,Trollskogsstigen,,lwn,4.382,False,
1707413,Murgrönestigen,,lwn,2.464,False,
1707939,Roffes bana,"Roffes bana, gul",lwn,7.456,True,
1708375,Stengårdsstigen,,lwn,2.865,False,
1708389,Arnljotlängden,,lwn,3.189,False,
1708945,Svartgölsleden,,lwn,1.803,True,
1710011,Munkastigen etapp 4,,rwn,21.564,False,
1714248,Lilla Lövö Runt,,lwn,5.372,True,
1716210,Blådöpet runt,,lwn,5.386,True,
1721455,Verkeån blå,,lwn,2.109,True,
1721456,Backaleden,,lwn,17.721,False,
1726855,Kyrkstigen Tivedstorp - Tiveds kyrka,,lwn,4.295,True,
1726856,Kyrkstigen Åboholm - Tiveds kyrka,,lwn,6.094,False,
1731145,Naturstigen,,lwn,3.44,False,
1734062,Nipleden,,lwn,27.551,False,Q56301225
1734723,"Sörmlandsleden, etapp 19",19,nwn,11.864,True,Q115097021
1738986,"Sörmlandsleden, etapp 18",18,nwn,10.791,True,Q115097020
1742862,Blekingeleden Etapp 3: Östafors–Halens camping,3,nwn,15.434,True,
1744555,Blekingeleden Etapp 4: Halens camping–Tulseboda Brunnspark,4,nwn,20.726,True,
1744954,Blekingeleden Etapp 5: Tusleboda Brunnspar–Mörrumsån,5,nwn,18.297,True,
1745003,Blekingeleden Etapp 6: Mörrumsån–Långasjönäs,6,nwn,17.141,True,
1749336,"Hackefors motionsspår 6,4 km",,lwn,6.494,True,
1756345,"Blått spår 1,1 km",,lwn,0.98,True,
1756346,"Grönt spår 9,6 km",,lwn,9.184,True,
1756347,"Gult spår 4,8 km",,lwn,4.684,True,
1756348,"Rött spår 2,5 km",,lwn,2.351,False,
1756353,Bonäsleden,,lwn,10.375,False,
1764025,"Röd/vitt spår 2,8 km",,lwn,2.782,True,
1764026,"Trampstig 1,3 km",,lwn,1.301,False,
1764634,10 km motionsspår,,lwn,9.689,True,
1764635,10 km träningsspår,,lwn,10.425,False,
1764636,5 km elljusspår,,lwn,5.103,True,
1764637,"7,5 km träningsspår",,lwn,7.645,True,
1765126,Naturstig,,lwn,1.977,True,
1771606,Pilgrimsleden etapp1,,,23.101,False,
1782813,Kairospåret,,lwn,5.664,False,
1793212,Isälvsleden,,lwn,55.993,False,Q10538111
1818999,Smedbyspåret,,lwn,1.931,True,
1820646,Hälsans stig,,lwn,6.893,False,
1838174,Sameslingan,Sameslingan,lwn,4.812,False,
1842883,Hälsans stig Upplands Väsby,,lwn,7.083,False,
1842927,Stora Gålöslingan,,lwn,11.722,True,
1854475,Brattforsleden,,lwn,23.268,False,
1859171,Kallhällsmotionspår_röd,,lwn,2.274,False,
1859187,Kallhällsmotionspår_gul,,lwn,2.936,False,
1859300,Sandviks Motionspår,,lwn,2.57,False,
1859342,Veddestaspåret,,lwn,2.19,False,
1868397,Runbyspåret 3km,,lwn,2.936,False,
1898532,Bohusleden - Etapp 6 Angereds kyrka - Fontin,6,nwn,17.71,True,
1899756,Bohusleden - Etapp 13 Glimmingen - Bjursjön,13,nwn,12.19,True,
1949268,"Roslagsleden, etapp 10",,rwn,8.763,True,Q135478794
1949274,"Roslagsleden, etapp 6",,rwn,19.919,True,Q135477950
1949289,"Roslagsleden, etapp 9",,rwn,24.342,True,Q135478541
2065759,Blå leden Högkullen,Blå,lwn,2.95,False,
2132596,Hälsans Stig Lund,,lwn,12.263,False,
2135968,Krokeksleden,,rwn,4.798,False,
2174727,Kåres väg,,lwn,8.258,False,
2197114,"Tivedstorps skogspromenad 2,5 km",,lwn,2.065,True,
2197115,Tivedstorps skogspromenad 5 km,,lwn,3.624,True,
2228527,Fornminnesleden 2.8km,,lwn,2.907,True,
2251092,Stegelmosslingan,,,5.432,False,
2255821,Sigfridsleden Nydala-Lekaryd,,lwn,65.309,False,
2256227,Västra Sigfridsleden - extra,,rwn,49.741,False,
2259962,,,lwn,15.431,True,
2259965,Solsidan norra,Gröna spåret,lwn,10.641,True,
2261165,"Blå 2,5 km",,lcn,2.555,True,
2261166,"Gul 4,5 km",,lcn,4.338,True,
2261167,Eljusspår 3.5 km,,lwn,3.274,True,
2269771,Bunketorp 9 km,,lwn,8.792,True,
2269796,Bunketorp 1.5km,,lwn,1.575,True,
2269797,Bunketorp 2.5km,,lwn,2.631,True,
2269800,Bunketorp 5 km,,lwn,4.741,True,
2269938,Skutberget - Kil,,lwn,24.041,False,
2271058,"Fontin 2,5 km",,lwn,2.694,False,
2271059,Fontin 5 km,,lwn,4.918,True,
2277468,,17,nwn,10.45,True,
2304012,Blå strövstig,,lwn,8.57,True,
2304013,Röd strövstig,,lwn,9.518,False,
2307289,Sjöstadleden,,lwn,4.639,True,
2307665,Höjehall,,lwn,4.517,False,
2307666,Korta spåret,,lwn,1.994,True,
2307667,Långa spåret,,lwn,6.685,False,
2307668,Långe Magnusa,,lwn,1.72,False,
2310072,,,lwn,4.533,False,
2313333,Säterdalsleden,,lwn,27.221,False,
2335675,Vasaloppsleden,,rwn,90.88,False,Q1278823
2337435,Källslättenspåret 20 km,,,17.937,False,
2337457,Källslättenspåret 20 km,,lwn,17.937,False,
2337572,Kulturstigen,,lwn,2.519,True,
2343343,Bergslagsleden Etapp 1,1,nwn,19.962,True,Q820225
2343621,Bergslagsleden Etapp 2,2,nwn,17.135,True,Q820225
2343842,"Sörmlandsleden, etapp 6",6,nwn,12.04,True,Q115097002
2343843,"Sörmlandsleden, etapp 6:1",6:1,nwn,13.747,False,Q115096985
2343975,"Sörmlandsleden, etapp 5:3",5:3,nwn,14.456,True,Q115097001
2344203,"Sörmlandsleden, etapp 5:1",5:1,nwn,9.575,True,Q115096999
2344213,"Sörmlandsleden, etapp 4",4,nwn,9.801,True,Q115096997
2344214,"Sörmlandsleden, etapp 5",5,nwn,11.368,True,Q115096998
2344249,"Sörmlandsleden, etapp 2",2,nwn,6.322,False,Q115096995
2344250,"Sörmlandsleden, etapp 3",3,nwn,12.356,False,Q115096996
2345408,"Sörmlandsleden, etapp 10",10,nwn,11.813,False,Q115097006
2361484,Guldtur 3: Gruvturen,154,lwn,9.394,False,
2369001,Bergslagsleden Etapp 3,3,nwn,21.474,True,Q820225
2370088,Bergslagsleden Etapp 4,4,nwn,23.059,True,Q820225
2382147,Grönt motionsspår,,lwn,8.758,True,
2385515,Fjällgårdsturen,,lwn,2.588,True,
2385549,Guldtur 2: Sveån,,lwn,8.279,True,
2386932,Guldtur 32: Runt Kariknallen,,lwn,13.513,False,
2387620,Byturen,159,lwn,5.234,False,
2389241,Blekingeleden Etapp 14: Älmtasjön–Kristianopel,14,nwn,24.589,True,
2389397,Blekingeleden Etapp 13: Mörtsjöåsen–Älmtasjön,13,nwn,8.489,True,
2390295,Blekingeleden Etapp 12: Alljungen–Mörtsjöåsen,12,nwn,24.691,True,
2390546,Blekingeleden Etapp 11: Skärsviken–Alljungen,11,nwn,30.83,True,
2390726,"Sörmlandsleden, etapp 13",13,nwn,14.528,True,Q115097010
2390742,"Sörmlandsleden, etapp 12",12,nwn,8.386,True,Q115097008
2390743,"Sörmlandsleden, etapp 12:1",12:1,nwn,4.968,True,
2390769,Blekingeleden Etapp 10: Ronneby Brunn–Skärsviken,10,nwn,20.501,True,
2391420,Blekingeleden Etapp 9: Järnavik–Ronneby Brunn,9,nwn,20.988,True,
2395068,Blekingeleden Etapp 8: Persgärde-Järnavik,8,nwn,15.049,True,
2396141,"Förlösa 2,5 km",,lwn,2.45,True,
2396142,Förlösa 5km,,lwn,4.987,True,
2426057,Brännland runt,,lwn,3.025,False,
2436270,Vättlefjällsleden,,lwn,23.073,True,
2441745,"Sörmlandsleden, etapp 11",11,nwn,9.005,False,Q115097007
2455249,"Jungfrusundsåsen 2,8km elljusspår",,,2.924,True,
2459256,"Natur- och Kulturstigen i Tyrislöt, Sankt Anna",,lwn,2.214,False,
2553271,Ängsjö Röd 2.5km,,lwn,2.328,True,
2553287,Ängsjö Blå 3.6km,,lwn,3.555,False,
2553294,Ängsjö Gul 5km,,lwn,4.663,False,
2553320,Ängsjö Grön Gul 10km,,lwn,9.102,False,
2553321,Ängsjö Grön 10km,,lwn,9.319,False,
2557186,Tibble Elljusspår 1.9 km,,lwn,2.059,True,
2557220,Lillsjön motionsspår 1 km,,lwn,1.098,True,
2557221,Lillsjön motionsspår 3 km,,lwn,3.0,True,
2557222,Lillsjön motionsspår 6km,,lwn,6.149,True,
2588206,Gul Vitt Spår,,lwn,4.698,False,
2588207,Gult Spår,,lwn,4.416,True,
2591939,Ravalenspåret,,lwn,2.264,True,
2591958,Vibyspåret,,lwn,2.137,True,
2647099,Kolarstigen,,lwn,24.376,False,
2703608,Mörbylångaleden,,rwn,83.81,False,
2733358,Romboleden,,nwn,119.311,False,
2734343,"Jungfrusundsåsen 2,2km elljusspår",,,2.39,True,
2734403,Jungfrusundsåsen 4km motionsspår,,,3.975,False,
2734405,Jungfrusundsåsen 5km motionsspår,,,5.083,False,
2734443,Jungfrusundsåsen 10km motionsspår,,,9.326,False,
2734444,Naturstigen,,lwn,5.35,False,
2766587,Finjasjöleden,,lwn,18.787,False,
2796790,Alslingan,,lwn,4.83,True,
2833410,Kyrkstigen,,lwn,1.775,True,
2833437,Kärleksstigen,,lwn,0.709,True,
2857629,Gusturleden,,lwn,34.071,False,
2857703,Hälsans stig,,lwn,5.379,False,
2870895,Vandringsleden,,,0.65,False,
2890824,Granskog motionsspår 2.5km,,lwn,2.502,True,
2913366,Dalkarlsvägen etapp 4,,nwn,32.505,True,
2913487,Dalkarlsvägen etapp 5,,nwn,33.544,True,
2913742,Dalkarlsvägen etapp 6,,nwn,34.437,True,
2913894,Dalkarlsvägen etapp 7,,nwn,34.765,True,
2917654,"Sörmlandsleden, etapp 7",7,nwn,6.407,False,Q115097003
2917655,"Sörmlandsleden, etapp 8",8,nwn,13.891,False,
2924271,Kyrkstigen,Kyrkstigen,lwn,17.903,False,
2925174,Dalkarlsvägen etapp 8,,nwn,30.289,True,
2926005,Dalkarlsvägen etapp 9,,nwn,36.947,True,
2926131,Dalkarlsvägen etapp 10,,nwn,28.931,False,
2926279,Dalkarlsvägen etapp 11,,nwn,30.798,True,
2927760,Dalkarlsvägen etapp 12 2012,,nwn,5.73,False,
2941512,Brunnaspåret 4.1km,,lwn,4.054,False,
2970903,Hällbergs fäbod,,lwn,10.445,False,
3017232,Limsjön runt,,lwn,6.674,False,
3044390,Isala-Ågleden,,lwn,9.845,True,
3069285,Marmorstigen,,lwn,3.405,False,
3070378,"Roslagsleden, etapp 4",,rwn,12.412,True,Q135477808
3076823,Jerneklev,,lwn,4.123,True,
3080532,"2,5 km",,lwn,2.413,True,
3082964,Tjustleden Etapp 4 anslutningsled,,nwn,7.498,True,
3095117,Ostkustleden Etapp 1 Lilla Hycklinge - Nynäs,1,nwn,16.735,True,
3097715,"Roslagsleden, etapp 7",,rwn,20.01,True,Q135477952
3097751,"Roslagsleden, etapp 8",,rwn,12.697,True,Q135477954
3107159,Kramstaleden,,lwn,6.388,False,
3107184,Sannaleden,,lwn,6.996,False,
3114035,"Sörmlandsleden, etapp 29",29,nwn,9.403,False,
3115301,Motionsspår gul 3 km,,lwn,2.841,False,
3115302,Motionsspår blå 7 km,,lwn,6.898,False,
3117090,"Sörmlandsleden, etapp 30",30,nwn,12.289,False,Q115097049
3120753,Dragbergsstugorna - Fjortasjön,,lwn,3.199,True,
3120754,Gylle fäbod - Dragbergsstugorna,,lwn,4.798,True,
3121204,Vandringsled runt Södra Hyn,,lwn,12.607,False,
3125659,"Belerundan 3,5 km",,lwn,2.443,True,
3125660,,,lwn,0.715,True,
3161613,Bergslagsleden Etapp 13,13,nwn,19.438,True,Q820225
3162680,Bergslagsleden Etapp 11,11,nwn,15.863,True,Q820225
3162713,Bergslagsleden Etapp 10,10,nwn,6.685,True,Q820225
3162720,Angsjöleden,,lwn,7.614,True,
3162721,Tio sjöars led,,lwn,11.09,True,
3166559,Lunedsleden,,lwn,12.422,True,
3190689,Ekerö-Munsöleden del I,,rwn,24.256,False,Q31856655
3193707,"Fylleryd, elljusspåret",,lwn,4.509,False,
3193714,"Fylleryd, blå",,lwn,1.376,True,
3195093,Bergslagsleden Etapp 7,7,nwn,15.024,True,Q820225
3195156,Bergslagsleden Etapp 8,8,nwn,14.08,True,Q820225
3195577,Bergslagsleden Etapp 6,6,nwn,14.765,True,Q820225
3195784,Bergslagsleden Etapp 9,9,nwn,9.727,True,Q820225
3195789,Bergslagsleden Etapp 12,12,nwn,18.864,True,Q820225
3196084,Bergslagsleden Etapp 14,14,nwn,20.867,True,Q820225
3196282,Bergslagsleden Etapp 15,15,nwn,21.582,True,Q820225
3196596,Bergslagsleden Etapp 16,16,nwn,13.648,True,Q820225
3196986,Bergslagsleden Etapp 17,17,nwn,12.218,True,Q820225
3199101,Bergslagsleden Etapp 5,5,nwn,17.815,True,Q820225
3199980,Tjustleden Etapp 4,,nwn,11.55,True,
3199981,Tjustleden Etapp 5,,nwn,22.013,True,
3206134,Tjustleden Etapp 6,,nwn,21.379,False,
3208832,Hallandsleden Etappen Stensjön - Äskhult,,nwn,17.02,True,
3208964,Hallandsleden Etappen Äskhult - Stättared,,nwn,16.734,True,
3209148,Hallandsleden Etappen Stättared - Dranstugan,,nwn,18.258,True,
3210850,Hallandsleden Etappen Dranstugan - Gällarpesjön,,nwn,20.831,True,
3210851,Hallandsleden Etappen Gällarpesjön - Åkulla,,nwn,17.297,True,
3236865,Sätra Brunns Elljusspår,,lwn,2.814,False,
3237259,Tjustleden Etapp 7,,nwn,22.216,False,
3238589,Solsidan södra,,lwn,9.042,True,
3247696,"Hälsospåret Ekerö, spår 3",,lwn,7.051,False,
3296960,Brinkslingan,Brinkslingan,lwn,8.262,False,
3296961,Tornbergslingan,Tornbergsslingan,lwn,5.313,True,
3299332,Lugna promenaden i Fisksätra-Saltsjöbaden,,lwn,4.088,False,
3301880,Kynnefjäll strövstig,,lwn,7.423,True,
3319150,Fermansbo urskog vandringsslinga,,lwn,4.403,False,
3319189,Gula stigen,,lwn,8.449,True,
3320917,Harge uddar,,lwn,2.607,False,
3320918,Hargemarken,,lwn,1.604,True,
3322548,Johannisbergs vandringsslinga,,lwn,5.568,False,
3325665,Gruvdammsrundan,,lwn,25.526,False,Q18290254
3325706,Helgonmossrundan,,lwn,4.997,False,
3325978,Tysslingeleden,,lwn,14.77,False,
3326016,Utnäset-Uvviken,,lwn,3.955,True,
3326025,Fagertärn,,lwn,2.901,True,
3326030,Munkastigen etapp 5,,rwn,17.479,True,
3339134,Hjälstaviken,,lwn,8.715,True,
3339778,Billuden,,lwn,4.027,False,
3349166,Hatten vandringsled kort,,lwn,1.547,True,
3353226,,20,nwn,25.367,True,
3363441,Ovansjöleden,,lwn,7.689,False,
